type,time,exchange,competitor,odds,backer,layer,stake
Trade,0.3501009941101074,0,0,2.524883797218279,3,53,15
Trade,1.521488904953003,0,0,4.9,51,3,15
Trade,2.4608209133148193,0,0,2.524883797218279,3,53,15
Trade,38.126734018325806,0,0,2.524883797218279,3,57,15
Trade,38.242212772369385,0,0,2.624883797218279,3,56,15
Trade,38.28992199897766,0,0,2.624883797218279,3,58,15
Trade,38.29455494880676,0,0,2.624883797218279,3,59,15
Trade,38.3391900062561,0,0,2.624883797218279,3,55,15
Trade,38.34029483795166,0,0,2.624883797218279,3,57,15
Trade,38.355961084365845,0,0,2.624883797218279,3,56,15
Trade,38.35871601104736,0,0,2.624883797218279,3,58,15
Trade,38.41037321090698,0,0,2.624883797218279,3,57,15
Trade,38.44162106513977,0,0,2.624883797218279,3,59,15
Trade,38.45782995223999,0,0,2.624883797218279,3,55,15
Trade,38.54686117172241,0,0,2.624883797218279,3,57,15
Trade,38.58560514450073,0,0,2.624883797218279,3,56,15
Trade,38.618106842041016,0,0,4.937468035716549,53,3,15
Trade,38.62686800956726,0,0,2.624883797218279,3,58,15
Trade,38.628228187561035,0,0,2.624883797218279,3,59,15
Trade,38.634166955947876,0,0,2.624883797218279,3,55,15
Trade,38.66493487358093,0,0,2.624883797218279,3,57,15
Trade,38.68133091926575,0,0,2.624883797218279,3,56,15
Trade,39.41204309463501,0,0,5.937468035716549,30,3,15
Trade,39.41249203681946,0,0,2.624883797218279,32,58,15
Trade,39.41330409049988,0,0,2.624883797218279,37,56,15
Trade,39.4137179851532,0,0,2.624883797218279,38,57,15
Trade,39.41387104988098,0,0,2.624883797218279,36,59,15
Trade,39.414021253585815,0,0,2.624883797218279,34,55,15
Trade,39.41624903678894,0,0,2.424883797218279,31,58,15
Trade,39.425487995147705,0,0,2.424883797218279,33,3,15
Trade,39.425724029541016,0,0,2.424883797218279,39,58,15
Trade,39.42644000053406,0,0,2.424883797218279,35,56,15
Trade,39.42971396446228,0,0,2.424883797218279,32,57,15
Trade,39.436192989349365,0,0,2.424883797218279,38,50,15
Trade,39.436816930770874,0,0,2.424883797218279,36,56,15
Trade,39.43847703933716,0,0,2.424883797218279,30,59,15
Trade,39.439244985580444,0,0,2.424883797218279,31,57,15
Trade,39.44098401069641,0,0,2.424883797218279,34,55,15
Trade,39.441205978393555,0,0,2.424883797218279,37,3,15
Trade,39.44158697128296,0,0,2.424883797218279,35,59,15
Trade,39.45636701583862,0,0,2.424883797218279,33,55,15
Trade,39.45957899093628,0,0,2.424883797218279,39,3,15
Trade,39.46016311645508,0,0,2.5974789039817088,36,50,15
Trade,39.50259208679199,0,0,2.2639551626166488,3,53,15
Trade,39.55069017410278,0,0,2.424883797218279,38,3,15
Trade,39.562390089035034,0,0,2.424883797218279,39,3,15
Trade,39.59346008300781,0,0,2.424883797218279,32,3,15
Trade,39.82879304885864,0,0,2.424883797218279,31,50,15
Trade,39.93748998641968,0,0,2.424883797218279,33,50,15
Trade,40.01930904388428,0,0,2.424883797218279,34,50,15
Trade,40.08971118927002,0,0,2.424883797218279,37,50,15
Trade,0.19562506675720215,0,1,4.9,50,0,15
Trade,0.2892951965332031,0,1,3.9000000000000004,0,6,15
Trade,0.3062160015106201,0,1,3.078353431114013,0,53,15
Trade,8.570346117019653,0,1,5.432747881469371,54,0,15
Trade,9.231049060821533,0,1,4.432747881469371,0,1,15
Trade,12.549926996231079,0,1,4.432747881469371,0,1,15
Trade,13.873780965805054,0,1,3.4327478814693713,1,6,15
Trade,16.12865686416626,0,1,4.432747881469371,6,56,15
Trade,17.76021099090576,0,1,4.432747881469371,1,57,15
Trade,18.315101861953735,0,1,4.432747881469371,6,56,15
Trade,20.550015926361084,0,1,5.432747881469371,1,0,15
Trade,22.383170127868652,0,1,4.432747881469371,1,58,15
Trade,22.439183950424194,0,1,3.4327478814693713,0,1,15
Trade,26.11459994316101,0,1,3.5327478814693714,0,59,15
Trade,28.49446702003479,0,1,5.532747881469371,0,57,15
Trade,29.016763925552368,0,1,3.5327478814693714,1,55,15
Trade,38.09932899475098,0,1,3.5327478814693714,6,56,15
Trade,38.10173296928406,0,1,3.5327478814693714,6,58,15
Trade,38.10280799865723,0,1,3.5327478814693714,6,57,15
Trade,38.123497009277344,0,1,5.432747881469371,0,58,15
Trade,38.12395906448364,0,1,5.432747881469371,1,56,15
Trade,38.12605381011963,0,1,5.532747881469371,6,57,15
Trade,38.140281200408936,0,1,5.532747881469371,6,59,15
Trade,38.14531683921814,0,1,5.532747881469371,1,58,15
Trade,38.17471694946289,0,1,5.532747881469371,1,55,15
Trade,38.19702696800232,0,1,5.532747881469371,1,56,15
Trade,38.228172063827515,0,1,4.432747881469371,6,59,15
Trade,38.23216891288757,0,1,4.432747881469371,1,57,15
Trade,38.28685903549194,0,1,4.532747881469371,0,59,15
Trade,38.30856490135193,0,1,5.432747881469371,0,6,15
Trade,38.3206148147583,0,1,5.432747881469371,1,6,15
Trade,38.33219003677368,0,1,5.432747881469371,6,0,15
Trade,38.33882713317871,0,1,5.432747881469371,6,0,15
Trade,38.34214901924133,0,1,5.727665445727299,53,0,15
Trade,38.35143303871155,0,1,5.532747881469371,0,57,15
Trade,38.3527250289917,0,1,5.727665445756169,53,0,15
Trade,38.355417013168335,0,1,5.727665445774537,53,6,15
Trade,38.356415033340454,0,1,5.532747881469371,0,55,15
Trade,38.35678315162659,0,1,5.7276654457836775,53,6,15
Trade,38.35796618461609,0,1,5.532747881469371,6,58,15
Trade,38.36012291908264,0,1,5.532747881469371,0,56,15
Trade,38.36090111732483,0,1,5.727665445813767,53,1,15
Trade,38.38047480583191,0,1,5.532747881469371,0,59,15
Trade,38.4115629196167,0,1,4.432747881469371,0,1,15
Trade,38.42172288894653,0,1,4.432747881469371,1,1,15
Trade,38.43880081176758,0,1,5.727665445824067,53,1,15
Trade,38.43934106826782,0,1,4.535120797245075,1,6,15
Trade,38.4444100856781,0,1,4.432747881469371,0,46,15
Trade,38.45959997177124,0,1,4.53512088995762,0,6,15
Trade,38.473103046417236,0,1,4.532747881469371,1,55,15
Trade,38.47418999671936,0,1,4.532747881469371,1,57,15
Trade,38.474437952041626,0,1,4.532747881469371,0,56,15
Trade,38.47463393211365,0,1,5.859722052510038,52,6,15
Trade,38.48875188827515,0,1,6.535121031482085,1,0,15
Trade,38.491738080978394,0,1,6.535121031482085,6,0,15
Trade,38.52715301513672,0,1,3.4327478814693713,1,6,15
Trade,38.59160494804382,0,1,4.535121180581118,6,1,15
Trade,38.59392690658569,0,1,3.4327478814693713,0,6,15
Trade,38.64195680618286,0,1,3.4327478814693713,6,1,15
Trade,38.66434407234192,0,1,6.535121209399759,0,6,15
Trade,38.680757999420166,0,1,3.5327478814693714,0,6,15
Trade,38.6817741394043,0,1,5.532747881469371,1,0,15
Trade,38.697166204452515,0,1,6.859721751773983,1,6,15
Trade,38.73243689537048,0,1,6.859721796407791,0,1,15
Trade,38.760607957839966,0,1,6.8597218171056085,6,0,15
Trade,38.78579783439636,0,1,5.532747881469371,0,6,15
Trade,38.7881600856781,0,1,5.6327478814693706,0,47,15
Trade,38.84117817878723,0,1,5.532747881469371,1,6,15
Trade,38.860557079315186,0,1,3.5327478814693714,1,0,15
Trade,38.86762809753418,0,1,4.859721950193924,6,1,15
Trade,38.868243932724,0,1,3.6327478814693714,0,58,15
Trade,38.88518714904785,0,1,4.859721987885964,0,6,15
Trade,38.90601301193237,0,1,3.5327478814693714,0,1,15
Trade,38.91024684906006,0,1,6.859722015252858,1,6,15
Trade,38.91653609275818,0,1,4.859722020327557,6,0,15
Trade,38.91695594787598,0,1,3.6327478814693714,1,59,15
Trade,38.934314012527466,0,1,3.5327478814693714,0,6,15
Trade,38.9451220035553,0,1,6.432747881469371,1,0,15
Trade,38.97665214538574,0,1,4.432747881469371,6,1,15
Trade,39.03305506706238,0,1,4.432747881469371,6,0,15
Trade,39.03365087509155,0,1,4.432747881469371,6,1,15
Trade,39.03527092933655,0,1,3.6327478814693714,0,55,15
Trade,39.03553795814514,0,1,3.6327478814693714,0,57,15
Trade,39.03630805015564,0,1,4.432747881469371,0,1,15
Trade,39.03929090499878,0,1,4.432747881469371,1,0,15
Trade,39.039604902267456,0,1,3.6327478814693714,1,56,15
Trade,39.0619421005249,0,1,4.432747881469371,0,6,15
Trade,39.06375288963318,0,1,3.5327478814693714,1,0,15
Trade,39.09252715110779,0,1,3.5327478814693714,0,1,15
Trade,39.09432101249695,0,1,3.6327478814693714,1,49,15
Trade,39.12156915664673,0,1,4.432747881469371,1,0,15
Trade,39.14695906639099,0,1,4.432747881469371,1,6,15
Trade,39.14802885055542,0,1,4.432747881469371,0,1,15
Trade,39.17866086959839,0,1,3.5327478814693714,0,6,15
Trade,39.19867014884949,0,1,6.432747881469371,1,0,15
Trade,39.25606822967529,0,1,3.5327478814693714,6,6,15
Trade,39.25682306289673,0,1,3.5327478814693714,1,0,15
Trade,39.261478900909424,0,1,3.5327478814693714,0,6,15
Trade,39.29684090614319,0,1,3.5327478814693714,1,1,15
Trade,39.29739284515381,0,1,4.432747881469371,0,1,15
Trade,39.298177003860474,0,1,6.432747881469371,1,0,15
Trade,39.340660095214844,0,1,3.5327478814693714,1,0,15
Trade,39.344879150390625,0,1,6.859722052510038,1,6,15
Trade,39.46130108833313,0,1,5.6327478814693706,0,6,15
Trade,39.54929804801941,0,1,6.842340828542084,6,50,15
Trade,39.594836950302124,0,1,6.842340828542084,6,50,15
Trade,39.66823983192444,0,1,6.842340828542084,6,50,15
Trade,0.11899709701538086,0,2,1.5666666666666667,50,4,15
Trade,1.1204311847686768,0,2,1.1109706668488257,4,53,15
Trade,1.6398499011993408,0,2,2.4,52,4,15
Trade,2.9205551147460938,0,2,4.9,53,4,15
Trade,3.147534132003784,0,2,3.05465319226178,4,53,15
Trade,4.553050994873047,0,2,5.072495916144296,51,4,15
Trade,6.269924163818359,0,2,4.07997423231552,53,4,15
Trade,6.331822156906128,0,2,3.0894810168916442,10,23,15
Trade,6.369476079940796,0,2,3.0894810168916442,10,26,15
Trade,6.3848021030426025,0,2,3.0894810168916442,10,28,15
Trade,6.443441867828369,0,2,2.989481016891644,10,53,15
Trade,6.69330620765686,0,2,2.1077667810351777,10,4,15
Trade,6.900099039077759,0,2,1.407766781035177,10,4,15
Trade,7.001149892807007,0,2,1.1,10,54,15
Trade,7.14079213142395,0,2,1.1,4,51,15
Trade,7.193222999572754,0,2,1.1,10,4,15
Trade,7.399377822875977,0,2,1.1,10,4,15
Trade,11.678225994110107,0,2,1.1,39,4,15
Trade,11.772536993026733,0,2,1.1,38,54,15
Trade,11.805105924606323,0,2,1.1,36,54,15
Trade,11.869359016418457,0,2,1.1,37,54,15
Trade,11.925648927688599,0,2,1.1,30,54,15
Trade,12.94869089126587,0,2,1.1,32,4,15
Trade,14.914183855056763,0,2,1.1,33,4,15
Trade,15.932058811187744,0,2,1.1,34,57,15
Trade,16.00931191444397,0,2,1.1,31,56,15
Trade,16.10052990913391,0,2,1.1,35,57,15
Trade,16.184153079986572,0,2,1.1,4,56,15
Trade,30.828497886657715,0,2,2.1,10,4,15
Trade,30.858065843582153,0,2,1.1,14,58,15
Trade,30.88633704185486,0,2,1.1,13,24,15
Trade,30.90076208114624,0,2,1.1,16,21,15
Trade,30.92560887336731,0,2,1.1,12,23,15
Trade,30.945547103881836,0,2,1.1,19,25,15
Trade,30.955310106277466,0,2,1.1,15,27,15
Trade,30.972552061080933,0,2,1.1,17,29,15
Trade,30.99819588661194,0,2,1.1,10,26,15
Trade,31.005007028579712,0,2,1.1,14,28,15
Trade,31.02833318710327,0,2,1.1,11,59,15
Trade,31.051059007644653,0,2,1.1,16,55,15
Trade,31.10619282722473,0,2,1.1,15,56,15
Trade,31.130469799041748,0,2,1.1,17,57,15
Trade,31.203663110733032,0,2,1.1,13,20,15
Trade,32.40573692321777,0,2,1.1,19,4,15
Trade,34.6516900062561,0,2,1.1,12,4,15
Trade,35.8050479888916,0,2,1.1,14,56,15
Trade,38.003072023391724,0,2,1.1,11,59,15
Trade,38.085983991622925,0,2,1.1,10,58,15
Trade,38.09033393859863,0,2,1.1,13,55,15
Trade,38.09112906455994,0,2,1.1,16,57,15
Trade,38.100008964538574,0,2,1.1,15,4,15
Trade,38.101478815078735,0,2,1.1,17,22,15
Trade,38.102277994155884,0,2,1.1,19,4,15
Trade,38.10352683067322,0,2,1.1,12,4,15
Trade,38.12167716026306,0,2,1.1,14,58,15
Trade,38.121906042099,0,2,1.1,11,56,15
Trade,38.1222710609436,0,2,1.1,10,59,15
Trade,38.12269687652588,0,2,1.1,13,57,15
Trade,38.123095989227295,0,2,1.1,16,55,15
Trade,38.12477493286133,0,2,1.1,15,4,15
Trade,38.233891010284424,0,2,2.1,4,58,15
Trade,38.2357919216156,0,2,2.1,4,56,15
Trade,38.351901054382324,0,2,1.2000000000000002,4,4,15
Trade,38.353551149368286,0,2,3.007940073817873,18,4,15
Trade,38.355708837509155,0,2,3.007940073817873,16,4,15
Trade,38.35832190513611,0,2,3.007940073817873,15,4,15
Trade,38.39241814613342,0,2,2.2,4,59,15
Trade,38.40950393676758,0,2,3.007940073817873,10,4,15
Trade,38.47213697433472,0,2,1.3000000000000003,4,55,15
Trade,38.48903512954712,0,2,3.007940073817873,11,4,15
Trade,38.76919913291931,0,2,2.1,4,4,15
Trade,38.78841805458069,0,2,3.007940073817873,14,4,15
Trade,38.794299840927124,0,2,3.007940073817873,19,4,15
Trade,38.81377577781677,0,2,3.007940073817873,17,4,15
Trade,38.835758209228516,0,2,2.2,4,56,15
Trade,38.85124897956848,0,2,2.2,4,57,15
Trade,38.88275408744812,0,2,3.007940073817873,12,4,15
Trade,38.89862394332886,0,2,2.2,4,59,15
Trade,38.89966797828674,0,2,3.007940073817873,13,4,15
Trade,38.918469190597534,0,2,3.007940073817873,16,4,15
Trade,38.932315826416016,0,2,2.2,38,55,15
Trade,38.93254494667053,0,2,2.2,35,58,15
Trade,38.93276381492615,0,2,2.2,36,56,15
Trade,38.93301200866699,0,2,2.2,37,57,15
Trade,38.93327808380127,0,2,2.2,30,59,15
Trade,38.9335150718689,0,2,2.1079400738178733,34,4,15
Trade,38.97623920440674,0,2,1.1,15,59,15
Trade,38.97712683677673,0,2,1.1,18,4,15
